1.000000000000000021e-02 0.000000000000000000e+00
2.000000000000000042e-02 8.620909492499859125e-291
2.999999999999999889e-02 6.704054824299251279e-56
4.000000000000000083e-02 7.493577366824934605e-17
5.000000000000000278e-02 1.704614706270351463e-06
6.000000000000000472e-02 5.369522780822187993e-03
6.999999999999999278e-02 1.160891533144696453e-01
8.000000000000000167e-02 4.086312901867636960e-01
8.999999999999999667e-02 1.224876177426903912e+00
9.999999999999999167e-02 1.799397229429201106e+00
1.100000000000000006e-01 7.476985282826854595e-01
1.199999999999999956e-01 4.349988363023285509e-01
1.300000000000000044e-01 3.265361185721544213e-01
1.400000000000000133e-01 2.482758524938184219e-01
1.500000000000000222e-01 1.882034885431563276e-01
1.600000000000000033e-01 1.430906847311490537e-01
1.700000000000000122e-01 1.094996455695337323e-01
1.800000000000000211e-01 8.448861094801989047e-02
1.900000000000000022e-01 6.578119095343436251e-02
2.000000000000000111e-01 5.169051461060329700e-02
2.100000000000000200e-01 4.098958205708205099e-02
2.200000000000000011e-01 3.279145778478194384e-02
2.300000000000000100e-01 2.645476169290366525e-02
2.400000000000000189e-01 2.151376422210635880e-02
2.500000000000000000e-01 1.762816756992102718e-02
2.600000000000000089e-01 1.454748138246627319e-02
2.700000000000000178e-01 1.208584818961399437e-02
2.800000000000000266e-01 1.010423312776151383e-02
2.900000000000000355e-01 8.497772638966380465e-03
2.999999999999999889e-01 7.186735884579592386e-03
3.099999999999999978e-01 6.110023475598038399e-03
3.200000000000000067e-01 5.220457010139858967e-03
3.300000000000000155e-01 4.481340275969490639e-03
3.400000000000000244e-01 3.863929625788582733e-03
3.500000000000000333e-01 3.345559034340056526e-03
3.600000000000000422e-01 2.908240045817466445e-03
3.699999999999999956e-01 2.537608732906502206e-03
3.800000000000000044e-01 2.222128073501438740e-03
3.900000000000000133e-01 1.952479673446480025e-03
4.000000000000000222e-01 1.721096835732453595e-03
4.100000000000000311e-01 1.521803860809543829e-03
4.200000000000000400e-01 1.349535711573875141e-03
4.299999999999999933e-01 1.200118861360432868e-03
4.400000000000000022e-01 1.070099007450285534e-03
4.500000000000000111e-01 9.566048954830030752e-04
4.600000000000000200e-01 8.572401267849464723e-04
4.700000000000000289e-01 7.699967692254272838e-04
4.800000000000000377e-01 6.931860466720891943e-04
4.899999999999999911e-01 6.253824741951834014e-04
